1272979439	20251107	202511	2025	2025.8411	CHR	CHRISTIAN				CHR					CVL	RESIDENTS						CVL			1	036	036	03	1	4.0	3	1	3	4.18848167539267	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251107140000	https://www.christiannewswire.com/the-joy-fm-thanksgiving-partnership-to-benefit-thousands/
1272979440	20251107	202511	2025	2025.8411	CHR	CHRISTIAN				CHR					ISR	ISRAEL	ISR								0	051	051	05	1	3.4	8	1	8	-4.47865640307908	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251107140000	https://www.sltrib.com/opinion/commentary/2025/11/07/opinion-what-conservatives-should/
1272979441	20251107	202511	2025	2025.8411	CHRCTH	THE POPE				CHR	CTH														1	020	020	02	1	3.0	2	1	2	4.26829268292682	1	Vatican City	VT	VT		41.9	12.45	VT	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20251107140000	https://www.jacarandafm.com/news/news/ramaphosa-meet-pope-holy-see-visit/
1272979442	20251107	202511	2025	2025.8411	CHRCTH	THE POPE				CHR	CTH														1	020	020	02	1	3.0	8	1	8	4.26829268292682	1	Vatican City	VT	VT		41.9	12.45	VT	0								1	Vatican City	VT	VT		41.9	12.45	VT	20251107140000	https://www.jacarandafm.com/news/news/ramaphosa-meet-pope-holy-see-visit/
1272979443	20251107	202511	2025	2025.8411	CHRCTH	CATHOLIC				CHR	CTH														1	051	051	05	1	3.4	1	1	1	2.57913247362251	1	Greece	GR	GR		39	22	GR	0								1	Greece	GR	GR		39	22	GR	20251107140000	https://wire.lee.net/opinion/column/what-does-it-mean-to-have-a-soul-richard-kyte/article_f29f0625-acee-53b1-b641-ffab56dca192.html
1272979444	20251107	202511	2025	2025.8411	CHRCTH	CATHOLIC				CHR	CTH														1	051	051	05	1	3.4	9	1	9	2.57913247362251	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20251107140000	https://wire.lee.net/opinion/column/what-does-it-mean-to-have-a-soul-richard-kyte/article_f29f0625-acee-53b1-b641-ffab56dca192.html
1272979445	20251107	202511	2025	2025.8411	CHRCTH498	SISTERS OF CHARITY				CHR	CTH														0	046	046	04	1	7.0	7	1	7	1.44927536231884	4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	0								4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	20251107140000	https://www.independent.ie/irish-news/a-formidable-woman-president-and-taoiseach-among-mourners-at-funeral-of-sister-stan/a887909018.html
1272979446	20251107	202511	2025	2025.8411	CHRCTH498	SISTERS OF CHARITY				CHR	CTH				IRL	IRELAND	IRL								0	046	046	04	1	7.0	2	1	2	1.44927536231884	4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	4	Blanchardstown, County Fingal, Ireland	EI	EI35	18299	53.3881	-6.37556	-1501014	20251107140000	https://www.independent.ie/irish-news/a-formidable-woman-president-and-taoiseach-among-mourners-at-funeral-of-sister-stan/a887909018.html
1272979447	20251107	202511	2025	2025.8411	CHRCTH498	SISTERS OF CHARITY				CHR	CTH				IRL	IRELAND	IRL								0	046	046	04	1	7.0	1	1	1	1.44927536231884	4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	4	Dingle Peninsula, Kerry, Ireland	EI	EI11	18290	52.1833	-10.1667	-1502349	20251107140000	https://www.independent.ie/irish-news/a-formidable-woman-president-and-taoiseach-among-mourners-at-funeral-of-sister-stan/a887909018.html
1272979448	20251107	202511	2025	2025.8411	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			1	044	044	04	1	2.5	1	1	1	-1.73076923076923	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251107140000	https://www.hindustantimes.com/world-news/world-leaders-gather-for-second-day-in-brazil-seeking-solutions-to-confront-global-warming-101762521168055.html
1272979449	20251107	202511	2025	2025.8411	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			1	044	044	04	1	2.5	1	1	1	-1.73076923076923	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	20251107140000	https://www.hindustantimes.com/world-news/world-leaders-gather-for-second-day-in-brazil-seeking-solutions-to-confront-global-warming-101762521168055.html
1272979450	20251107	202511	2025	2025.8411	CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			BRA	BELEM	BRA								1	044	044	04	1	2.5	3	1	3	-1.73076923076923	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251107140000	https://www.hindustantimes.com/world-news/world-leaders-gather-for-second-day-in-brazil-seeking-solutions-to-confront-global-warming-101762521168055.html
1272979451	20251107	202511	2025	2025.8411	CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			BRA	BELEM	BRA								1	044	044	04	1	2.5	3	1	3	-1.73076923076923	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	4	Belem, ParáR, Brazil	BR	BR16	18585	-1.45	-48.4833	-629039	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	20251107140000	https://www.hindustantimes.com/world-news/world-leaders-gather-for-second-day-in-brazil-seeking-solutions-to-confront-global-warming-101762521168055.html
1272979452	20251107	202511	2025	2025.8411	CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								1	044	044	04	1	2.5	2	1	2	-1.73076923076923	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	20251107140000	https://www.hindustantimes.com/world-news/world-leaders-gather-for-second-day-in-brazil-seeking-solutions-to-confront-global-warming-101762521168055.html
1272979453	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	010	010	01	1	0.0	2	1	2	-1.35823429541596	4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20251107140000	https://ianslive.in/rjds-tenure-marked-by-crimes-and-scams-jp-nadda--20251107184550
1272979454	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	010	010	01	1	0.0	10	1	10	-1.99004975124378	3	West Jordan, Utah, United States	US	USUT	UT035	40.6097	-111.939	1434086	0								3	West Jordan, Utah, United States	US	USUT		40.6097	-111.939	1434086	20251107140000	https://www.yahoo.com/news/articles/female-hit-seriously-injured-car-024036833.html
1272979455	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	010	010	01	1	0.0	8	1	8	-1.35823429541596	4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	0								4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	20251107140000	https://ianslive.in/rjds-tenure-marked-by-crimes-and-scams-jp-nadda--20251107184550
1272979456	20251107	202511	2025	2025.8411	COP	PRISON						COP													1	015	015	01	1	0.0	10	1	10	-5.48523206751055	3	Tennessee State Penitentiary, Tennessee, United States	US	USTN	TN037	36.177	-86.8656	1324791	0								3	Tennessee State Penitentiary, Tennessee, United States	US	USTN		36.177	-86.8656	1324791	20251107140000	https://www.yahoo.com/news/articles/tn-man-pleads-guilty-deer-105000106.html
1272979457	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	020	020	02	1	3.0	6	1	6	-2.03761755485893	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	0								4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20251107140000	https://www.irishnews.com/news/northern-ireland/psni-issues-update-on-unique-and-highly-complex-probe-into-struck-off-neurologist-michael-watt-D7ZVYVR6GJCPNC22OZAE3S6RE4/
1272979458	20251107	202511	2025	2025.8411	COP	LAW ENFORCEMENT AGENCIES						COP													0	020	020	02	1	3.0	2	1	2	-3.55594102341717	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251107140000	https://www.sun-sentinel.com/2025/11/07/altidor-massacre-family-holds-faith-cold-case-will-be-solved-listen-to-felonious-florida-podcast/
1272979459	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	040	040	04	1	1.0	3	1	3	-2.03761755485893	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20251107140000	https://www.irishnews.com/news/northern-ireland/psni-issues-update-on-unique-and-highly-complex-probe-into-struck-off-neurologist-michael-watt-D7ZVYVR6GJCPNC22OZAE3S6RE4/
1272979460	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	042	042	04	1	1.9	5	1	5	-9.15032679738562	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20251107140000	https://www.tokyoreporter.com/japan-news/suspected-groper-leaps-flees-platform-at-jr-osaka-station-lines-suspended/
1272979461	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	060	060	06	2	6.0	10	1	10	-1.99004975124378	3	West Jordan, Utah, United States	US	USUT	UT035	40.6097	-111.939	1434086	0								3	West Jordan, Utah, United States	US	USUT		40.6097	-111.939	1434086	20251107140000	https://www.yahoo.com/news/articles/female-hit-seriously-injured-car-024036833.html
1272979462	20251107	202511	2025	2025.8411	COP	PRISON						COP													0	090	090	09	2	-2.0	1	1	1	-5.20833333333334	3	Lauderdale County, Tennessee, United States	US	USTN	TN097	35.7667	-89.6001	1639763	0								3	Lauderdale County, Tennessee, United States	US	USTN		35.7667	-89.6001	1639763	20251107140000	https://www.yahoo.com/news/articles/tennessee-man-banned-hunting-years-110501137.html
1272979463	20251107	202511	2025	2025.8411	COP	PRISON						COP													0	090	090	09	2	-2.0	4	1	4	-5.20833333333334	3	Lauderdale County, Tennessee, United States	US	USTN	TN097	35.7667	-89.6001	1639763	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20251107140000	https://www.yahoo.com/news/articles/tennessee-man-banned-hunting-years-110501137.html
1272979464	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	090	090	09	2	-2.0	3	1	3	-2.03761755485893	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20251107140000	https://www.irishnews.com/news/northern-ireland/psni-issues-update-on-unique-and-highly-complex-probe-into-struck-off-neurologist-michael-watt-D7ZVYVR6GJCPNC22OZAE3S6RE4/
1272979465	20251107	202511	2025	2025.8411	COP	DETECTIVE						COP													0	090	090	09	2	-2.0	10	1	10	-4.29654591406908	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20251107140000	https://www.yahoo.com/news/articles/missing-tennessee-woman-stuffed-inside-010003691.html
1272979466	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	111	111	11	3	-2.0	5	1	5	-7.14285714285714	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251107140000	https://www.morning-times.com/news/article_4f42c531-364f-4422-844f-116a539df52c.html
1272979467	20251107	202511	2025	2025.8411	COP	DETECTIVE						COP													0	120	120	12	3	-4.0	1	1	1	-3.55594102341717	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251107140000	https://www.sun-sentinel.com/2025/11/07/altidor-massacre-family-holds-faith-cold-case-will-be-solved-listen-to-felonious-florida-podcast/
1272979468	20251107	202511	2025	2025.8411	COP	DETECTIVE						COP													0	120	120	12	3	-4.0	4	1	4	-3.55594102341717	1	Haiti	HA	HA		19	-72.416667	HA	0								1	Haiti	HA	HA		19	-72.416667	HA	20251107140000	https://www.sun-sentinel.com/2025/11/07/altidor-massacre-family-holds-faith-cold-case-will-be-solved-listen-to-felonious-florida-podcast/
1272979469	20251107	202511	2025	2025.8411	COP	POLICE						COP													0	173	173	17	4	-5.0	10	1	10	-6.52360515021459	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251107140000	https://www.thespec.com/news/canada/five-arrested-after-violent-attack-at-tmu-event-featuring-israeli-soldiers/article_1a443771-3158-55bb-84fc-038a3ce6b1d5.html
1272979470	20251107	202511	2025	2025.8411	COP	PRISON						COP													0	173	173	17	4	-5.0	1	1	1	-6.90954773869347	4	Kerobokan, Bali, Indonesia	ID	ID02	18585	-8.3259	114.937	10724962	0								4	Kerobokan, Bali, Indonesia	ID	ID02	18585	-8.3259	114.937	10724962	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979471	20251107	202511	2025	2025.8411	COP	PRISON						COP													0	173	173	17	4	-5.0	10	1	10	-4.29654591406908	3	Hamilton County, Tennessee, United States	US	USTN	TN065	35.2001	-85.15	1639749	0								3	Hamilton County, Tennessee, United States	US	USTN		35.2001	-85.15	1639749	20251107140000	https://www.yahoo.com/news/articles/missing-tennessee-woman-stuffed-inside-010003691.html
1272979472	20251107	202511	2025	2025.8411	COP	DEPUTY						COP													0	180	180	18	4	-9.0	6	1	6	-6.52360515021459	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251107140000	https://www.thespec.com/news/canada/five-arrested-after-violent-attack-at-tmu-event-featuring-israeli-soldiers/article_1a443771-3158-55bb-84fc-038a3ce6b1d5.html
1272979473	20251107	202511	2025	2025.8411	COP	POLICE						COP													1	193	193	19	4	-10.0	6	1	6	-7.84313725490196	3	Cape Elizabeth, Maine, United States	US	USME	ME005	43.5637	-70.2001	563469	0								3	Cape Elizabeth, Maine, United States	US	USME		43.5637	-70.2001	563469	20251107140000	https://www.wabi.tv/2025/11/07/cape-elizabeth-man-shot-tow-truck-vehicle-was-being-repossessed-police-say/
1272979474	20251107	202511	2025	2025.8411	COP	DEPUTY						COP			CANCOP	TORONTO	CAN					COP			0	010	010	01	1	0.0	6	1	6	-6.52360515021459	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251107140000	https://www.thespec.com/news/canada/five-arrested-after-violent-attack-at-tmu-event-featuring-israeli-soldiers/article_1a443771-3158-55bb-84fc-038a3ce6b1d5.html
1272979475	20251107	202511	2025	2025.8411	COP	POLICE						COP			DZA	ALGERIAN	DZA								1	173	173	17	4	-5.0	10	1	10	-9.14893617021276	4	Islington, Islington, United Kingdom	UK	UKG3	40110	51.5333	-0.1	-2599623	4	Islington, Islington, United Kingdom	UK	UKG3	40110	51.5333	-0.1	-2599623	4	Islington, Islington, United Kingdom	UK	UKG3	40110	51.5333	-0.1	-2599623	20251107140000	https://www.lbc.co.uk/article/algerian-sex-offender-freed-wandsworth-prison-arrested-5HjdGTq_2/
1272979476	20251107	202511	2025	2025.8411	COP	PRISON						COP			GBR	UNITED KINGDOM	GBR								1	084	084	08	2	7.0	2	1	2	-6.90954773869347	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979477	20251107	202511	2025	2025.8411	COP	PRISON						COP			GBR	UNITED KINGDOM	GBR								1	084	084	08	2	7.0	1	1	1	-6.90954773869347	4	Kerobokan, Bali, Indonesia	ID	ID02	18585	-8.3259	114.937	10724962	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251107140000	https://www.dailymail.co.uk/news/article-15269293/First-picture-death-row-grandmother-Lindsay-Sandiford-British-soil-returns-Bali-heading-prison-shes-returned.html
1272979478	20251107	202511	2025	2025.8411	COP	POLICE OFFICER						COP			GBR	LONDON	GBR								0	0841	084	08	2	7.0	7	1	7	-9.14893617021276	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251107140000	https://www.lbc.co.uk/article/algerian-sex-offender-freed-wandsworth-prison-arrested-5HjdGTq_2/
1272979479	20251107	202511	2025	2025.8411	COP	POLICE OFFICER						COP			HLH	HOSPITAL						HLH			0	042	042	04	1	1.9	6	1	6	-9.70149253731345	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	20251107140000	https://www.rte.ie/news/2025/1107/1542759-london-murder-trial/
1272979480	20251107	202511	2025	2025.8411	COP	POLICE						COP			IRL	IRELAND	IRL								1	020	020	02	1	3.0	4	1	4	-2.03761755485893	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20251107140000	https://www.irishnews.com/news/northern-ireland/psni-issues-update-on-unique-and-highly-complex-probe-into-struck-off-neurologist-michael-watt-D7ZVYVR6GJCPNC22OZAE3S6RE4/
1272979481	20251107	202511	2025	2025.8411	COP	POLICE						COP			IRL	IRELAND	IRL								1	040	040	04	1	1.0	2	1	2	-2.03761755485893	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20251107140000	https://www.irishnews.com/news/northern-ireland/psni-issues-update-on-unique-and-highly-complex-probe-into-struck-off-neurologist-michael-watt-D7ZVYVR6GJCPNC22OZAE3S6RE4/
1272979482	20251107	202511	2025	2025.8411	COP	POLICE						COP			IRL	IRELAND	IRL								1	090	090	09	2	-2.0	2	1	2	-2.03761755485893	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20251107140000	https://www.irishnews.com/news/northern-ireland/psni-issues-update-on-unique-and-highly-complex-probe-into-struck-off-neurologist-michael-watt-D7ZVYVR6GJCPNC22OZAE3S6RE4/
1272979483	20251107	202511	2025	2025.8411	COP	POLICE						COP			MDV	MALE	MDV								1	193	193	19	4	-10.0	5	1	5	-7.42049469964665	0								0								0								20251107140000	https://www.fox23.com/news/1-person-killed-other-injured-in-double-shooting-at-new-haven-apartments-thursday-night/article_c439afe9-d1a6-4a95-805a-a23dc6c1e2e2.html
1272979484	20251107	202511	2025	2025.8411	COP	POLICE CHIEF						COP			MED	MEDIA						MED			0	010	010	01	1	0.0	2	1	2	-3.55594102341717	3	City Of Miramar, Florida, United States	US	USFL	FL011	25.9774	-80.335	2404275	3	City Of Miramar, Florida, United States	US	USFL		25.9774	-80.335	2404275	3	City Of Miramar, Florida, United States	US	USFL		25.9774	-80.335	2404275	20251107140000	https://www.sun-sentinel.com/2025/11/07/altidor-massacre-family-holds-faith-cold-case-will-be-solved-listen-to-felonious-florida-podcast/
1272979485	20251107	202511	2025	2025.8411	COP	POLICE CHIEF						COP			MED	MEDIA						MED			0	190	190	19	4	-10.0	2	1	2	-3.55594102341717	3	City Of Miramar, Florida, United States	US	USFL	FL011	25.9774	-80.335	2404275	3	City Of Miramar, Florida, United States	US	USFL		25.9774	-80.335	2404275	3	City Of Miramar, Florida, United States	US	USFL		25.9774	-80.335	2404275	20251107140000	https://www.sun-sentinel.com/2025/11/07/altidor-massacre-family-holds-faith-cold-case-will-be-solved-listen-to-felonious-florida-podcast/
1272979486	20251107	202511	2025	2025.8411	COP	POLICE						COP			SPY	INTELLIGENCE						SPY			1	051	051	05	1	3.4	3	1	3	-2.55681818181818	4	Jakhalabandha, Assam, India	IN	IN03	17593	26.6	93.0167	-2098079	4	Nagaon, Maharashtra, India	IN	IN16	17781	17.4667	73.6167	-2105282	4	Nagaon, Maharashtra, India	IN	IN16	17781	17.4667	73.6167	-2105282	20251107140000	https://morungexpress.com/assam-police-stf-cracks-down-on-wildlife-trafficking-network-2-held
1272979487	20251107	202511	2025	2025.8411	COP	POLICE						COP			USA	UNITED STATES	USA								1	193	193	19	4	-10.0	4	1	4	-7.84313725490196	3	Cape Elizabeth, Maine, United States	US	USME	ME005	43.5637	-70.2001	563469	3	Cape Elizabeth, Maine, United States	US	USME		43.5637	-70.2001	563469	3	Cape Elizabeth, Maine, United States	US	USME		43.5637	-70.2001	563469	20251107140000	https://www.wabi.tv/2025/11/07/cape-elizabeth-man-shot-tow-truck-vehicle-was-being-repossessed-police-say/
1272979488	20251107	202511	2025	2025.8411	COPGOV	DEPUTY						COP	GOV												1	060	060	06	2	6.0	6	1	6	-1.55038759689923	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	0								4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	20251107140000	https://www.lrt.lt/en/news-in-english/19/2738177/culture-vice-minister-aleksandras-brokas-resigns-amid-public-criticism
1272979489	20251107	202511	2025	2025.8411	COPGOV	DEPUTY						COP	GOV		LTU	LITHUANIA	LTU								1	060	060	06	2	6.0	4	1	4	-1.55038759689923	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	20251107140000	https://www.lrt.lt/en/news-in-english/19/2738177/culture-vice-minister-aleksandras-brokas-resigns-amid-public-criticism
1272979490	20251107	202511	2025	2025.8411	CRM	SEX WORKER						CRM													1	040	040	04	1	1.0	2	1	2	-1.58478605388272	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	0								4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20251107140000	https://www.moneycontrol.com/news/india/anxious-over-sir-sex-workers-in-kolkata-s-sonagachi-hold-meeting-before-moving-ec-13660714.html
1272979491	20251107	202511	2025	2025.8411	CRM	SEX WORKER						CRM													1	046	046	04	1	7.0	2	1	2	-1.58478605388272	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	0								4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20251107140000	https://www.moneycontrol.com/news/india/anxious-over-sir-sex-workers-in-kolkata-s-sonagachi-hold-meeting-before-moving-ec-13660714.html
1272979492	20251107	202511	2025	2025.8411	CRM	RUNNER						CRM													1	070	070	07	2	7.0	5	1	5	1.28205128205128	1	Japan	JA	JA		36	138	JA	0								1	Japan	JA	JA		36	138	JA	20251107140000	https://www.waterpowermagazine.com/news/japans-nagayama-hydropower-station-unit-1-returns-to-service-after-full-repowering/
1272979493	20251107	202511	2025	2025.8411	CRM	SEX WORKER						CRM													0	090	090	09	2	-2.0	10	1	10	-1.58478605388272	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	0								4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20251107140000	https://www.moneycontrol.com/news/india/anxious-over-sir-sex-workers-in-kolkata-s-sonagachi-hold-meeting-before-moving-ec-13660714.html
1272979494	20251107	202511	2025	2025.8411	CRM	FELON						CRM													0	180	180	18	4	-9.0	5	1	5	-5.86979722518677	2	District of Columbia, United States	US	USDC		38.8964	-77.0262	DC	0								2	District of Columbia, United States	US	USDC		38.8964	-77.0262	DC	20251107140000	https://thedailyrecord.com/2025/11/07/will-the-supreme-court-untangle-itself-from-bruen/
1272979495	20251107	202511	2025	2025.8411	CRM	CRIMINAL						CRM			EDU	STUDENT						EDU			1	051	051	05	1	3.4	7	1	7	-6.52360515021459	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251107140000	https://www.thespec.com/news/canada/five-arrested-after-violent-attack-at-tmu-event-featuring-israeli-soldiers/article_1a443771-3158-55bb-84fc-038a3ce6b1d5.html
1272979496	20251107	202511	2025	2025.8411	CRM	CRIMINAL						CRM			EDU	STUDENT						EDU			1	051	051	05	1	3.4	3	1	3	-6.52360515021459	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251107140000	https://www.thespec.com/news/canada/five-arrested-after-violent-attack-at-tmu-event-featuring-israeli-soldiers/article_1a443771-3158-55bb-84fc-038a3ce6b1d5.html
1272979497	20251107	202511	2025	2025.8411	CRM	CRIMINAL						CRM			ISR	ISRAEL	ISR								1	051	051	05	1	3.4	5	1	5	-6.52360515021459	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251107140000	https://www.thespec.com/news/canada/five-arrested-after-violent-attack-at-tmu-event-featuring-israeli-soldiers/article_1a443771-3158-55bb-84fc-038a3ce6b1d5.html
1272979498	20251107	202511	2025	2025.8411	CRM	CRIMINAL						CRM			USA	UNITED STATES	USA								0	112	112	11	3	-2.0	4	1	4	-12.1478873239437	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20251107140000	https://nypost.com/2025/11/07/us-news/nyc-man-charged-with-raping-15-year-old-he-met-online-da/
