1266563730	20241003	202410	2024	2024.7479	CHN	CHINA	CHN								SEP	SEPARATIST						SEP			1	130	130	13	3	-4.4	10	1	10	-2.81329923273657	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251003053000	https://www.asiaone.com/asia/taiwan-tracking-china-activity-cannot-say-if-there-will-be-more-drills-post-national-day
1266563731	20241003	202410	2024	2024.7479	COP	POLICE						COP													0	050	050	05	1	3.5	5	1	5	-3.09446254071661	4	Cave Hill, Saint Lucy, Barbados	BB	BB07	5831	13.3	-59.5833	-1393317	0								4	Cave Hill, Saint Lucy, Barbados	BB	BB07	5831	13.3	-59.5833	-1393317	20251003053000	https://barbadostoday.bb/2025/10/02/youth-signals-outside-court-spark-concern/
1266563732	20241003	202410	2024	2024.7479	GOV	PRESIDENT						GOV			CVL	CITIZEN						CVL			0	010	010	01	1	0.0	10	1	10	2.26570545829042	1	Guyana	GY	GY		5	-59	GY	1	Guyana	GY	GY		5	-59	GY	1	Guyana	GY	GY		5	-59	GY	20251003053000	https://kaieteurnewsonline.com/2025/10/03/whatever-ali-promised-he-will-deliver-jagdeo-hints-at-christmas-cash-grant/
1266563733	20241003	202410	2024	2024.7479	GUY	GUYANA	GUY								GBRBUS	UNITED KINGDOM	GBR					BUS			0	060	060	06	2	6.0	8	1	8	1.01867572156197	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	1	United Kingdom	UK	UK		54	-4	UK	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20251003053000	https://kaieteurnewsonline.com/2025/10/03/president-ali-announces-plans-for-guyana-to-market-its-own-crude/
1266563734	20241003	202410	2024	2024.7479	GUY	GUYANA	GUY								GBRBUS	UNITED KINGDOM	GBR					BUS			0	060	060	06	2	6.0	2	1	2	1.01867572156197	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20251003053000	https://kaieteurnewsonline.com/2025/10/03/president-ali-announces-plans-for-guyana-to-market-its-own-crude/
1266563735	20241003	202410	2024	2024.7479	MED	PUBLICATION						MED			CHR	CHRISTIAN				CHR					0	020	020	02	1	3.0	6	1	6	-4.65116279069768	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20251003053000	https://lasvegassun.com/news/2025/oct/02/texas-megachurch-founder-robert-morris-pleads-guil/
1266563736	20241003	202410	2024	2024.7479	USA	UNITED STATES	USA								CHR	CHRISTIAN				CHR					0	020	020	02	1	3.0	4	1	4	-4.65116279069768	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20251003053000	https://lasvegassun.com/news/2025/oct/02/texas-megachurch-founder-robert-morris-pleads-guil/
1266563737	20241003	202410	2024	2024.7479	USA	THE US	USA								CVL	CITIZEN						CVL			0	052	052	05	1	3.5	10	1	10	-3.03030303030303	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20251003053000	https://www.independent.ie/world-news/europe/vladimir-putin-hits-back-at-donald-trump-and-says-russia-is-ready-to-respond-to-any-european-threat/a1091408153.html
1266563738	20250903	202509	2025	2025.6658	GOV	PRIME MINISTER						GOV			PAK	PAKISTAN	PAK								1	057	057	05	1	8.0	8	1	8	0.85178875638842	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20251003053000	https://www.arabnews.com/node/2617622/pakistan
1266563739	20250903	202509	2025	2025.6658	GOV	PRIME MINISTER						GOV			SAU	SAUDI ARABIA	SAU								1	057	057	05	1	8.0	2	1	2	0.85178875638842	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20251003053000	https://www.arabnews.com/node/2617622/pakistan
1266563740	20250903	202509	2025	2025.6658	GOV	PRIME MINISTER						GOV			SAU	SAUDI ARABIA	SAU								1	057	057	05	1	8.0	6	1	6	0.85178875638842	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20251003053000	https://www.arabnews.com/node/2617622/pakistan
