1267909536	20151013	201510	2015	2015.7753	IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO													0	173	173	17	4	-5.0	5	1	5	-0.79872204472843	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	0								4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	20251010160000	https://time.com/7324934/albania-ai-minister-diella/
1267909537	20241010	202410	2024	2024.7671	ARE	ABU DHABI	ARE								AREGOV	UNITED ARAB EMIRATES	ARE					GOV			0	071	071	07	2	7.4	2	1	2	4.44033302497687	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20251010160000	https://observer.com/2025/10/frieze-abu-dhabi-2026-art-basel-qatar-gulf-expansion/
1267909538	20241010	202410	2024	2024.7671	AREGOV	ABU DHABI	ARE					GOV													0	071	071	07	2	7.4	6	1	6	4.44033302497687	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	0								4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20251010160000	https://observer.com/2025/10/frieze-abu-dhabi-2026-art-basel-qatar-gulf-expansion/
1267909539	20241010	202410	2024	2024.7671	LEG	LAWMAKER						LEG													1	051	051	05	1	3.4	10	1	10	-2.79605263157895	3	Trenton, Michigan, United States	US	USMI	MI163	42.1395	-83.1783	1615062	0								3	Trenton, Michigan, United States	US	USMI	MI163	42.1395	-83.1783	1615062	20251010160000	https://www.themorningsun.com/2025/10/10/new-state-law-exempts-michigan-income-tax-on-tips-overtime-social-security-income-2/
1267909540	20241010	202410	2024	2024.7671	MED	WEBSITE						MED													1	060	060	06	2	6.0	5	1	5	-1.7913593256059	3	Allentown, Pennsylvania, United States	US	USPA	PA003	40.4276	-79.9939	1202899	0								3	Allentown, Pennsylvania, United States	US	USPA	PA003	40.4276	-79.9939	1202899	20251010160000	https://www.mcall.com/2025/10/10/louis-mackerley-was-7-when-he-went-missing-in-allentown-41-years-ago-police-havent-given-up-hope-of-finding-him/
1267909541	20241010	202410	2024	2024.7671	USA	MASSACHUSETTS	USA								USALEG	UNITED STATES	USA					LEG			0	070	070	07	2	7.0	2	1	2	6.35359116022099	3	Jamaica Plain, Massachusetts, United States	US	USMA	MA025	42.3098	-71.1203	612943	3	Jamaica Plain, Massachusetts, United States	US	USMA		42.3098	-71.1203	612943	3	Jamaica Plain, Massachusetts, United States	US	USMA		42.3098	-71.1203	612943	20251010160000	http://jamaicaplaingazette.com/2025/10/10/hundreds-gather-to-celebrate-naming-the-dphs-jp-campus-after-dr-alfred-demaria-jr/
1267909542	20241010	202410	2024	2024.7671	USALEG	MASSACHUSETTS	USA					LEG													0	051	051	05	1	3.4	8	1	8	6.35359116022099	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20251010160000	http://jamaicaplaingazette.com/2025/10/10/hundreds-gather-to-celebrate-naming-the-dphs-jp-campus-after-dr-alfred-demaria-jr/
1267909543	20241010	202410	2024	2024.7671	USALEG	MASSACHUSETTS	USA					LEG													0	070	070	07	2	7.0	8	1	8	6.35359116022099	3	Jamaica Plain, Massachusetts, United States	US	USMA	MA025	42.3098	-71.1203	612943	0								3	Jamaica Plain, Massachusetts, United States	US	USMA		42.3098	-71.1203	612943	20251010160000	http://jamaicaplaingazette.com/2025/10/10/hundreds-gather-to-celebrate-naming-the-dphs-jp-campus-after-dr-alfred-demaria-jr/
1267909544	20250910	202509	2025	2025.6849	GBR	UNITED KINGDOM	GBR																		1	015	015	01	1	0.0	1	1	1	-1.77514792899409	1	Russia	RS	RS		60	100	RS	0								1	Russia	RS	RS		60	100	RS	20251010160000	https://www.thenational.scot/news/25533979.nigel-farage-says-nathan-gill-bad-apple-russian-bribes/
1267909545	20250910	202509	2025	2025.6849	IGOUNO	UNITED NATIONS		UNO				IGO			IGOUNOLEG	UNITED NATIONS		UNO				IGO	LEG		1	043	043	04	1	2.8	6	1	6	1.7467248908297	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251010160000	https://www.irishtimes.com/world/europe/2025/10/10/trump-snub-shows-nobel-committee-placed-politics-over-peace-says-white-house/
1267909546	20250910	202509	2025	2025.6849	IGOUNOLEG	UNITED NATIONS		UNO				IGO	LEG		IGOUNO	UNITED NATIONS		UNO				IGO			1	042	042	04	1	1.9	4	1	4	1.7467248908297	4	Oslo, Oslo, Norway	NO	NO12	23413	59.9167	10.75	-273837	4	Oslo, Oslo, Norway	NO	NO12	23413	59.9167	10.75	-273837	4	Oslo, Oslo, Norway	NO	NO12	23413	59.9167	10.75	-273837	20251010160000	https://www.irishtimes.com/world/europe/2025/10/10/trump-snub-shows-nobel-committee-placed-politics-over-peace-says-white-house/
