1272907487	20241107	202411	2024	2024.8411	ELIMIL	RETIRED						ELI	MIL		USAMED	REUTERS	USA					MED			0	051	051	05	1	3.4	3	1	3	0.65430752453654	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251107053000	https://www.marketscreener.com/news/google-to-build-new-ai-data-centre-on-tiny-australian-indian-ocean-outpost-ce7d5cd3df8efe24
1272907488	20251008	202510	2025	2025.7616	AUS	AUSTRALIA	AUS																		1	020	020	02	1	3.0	1	1	1	-2.16216216216216	4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	0								4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	20251107053000	https://maribyrnonghobsonsbay.starweekly.com.au/news/joseph-road-residents-write-new-chapter/
1272907489	20251008	202510	2025	2025.7616	CHN	CHINESE	CHN								USA	UNITED STATES	USA								1	112	112	11	3	-2.0	4	1	4	-6.9164265129683	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251107053000	https://www.yahoo.com/entertainment/celebrity/articles/hollywood-star-54-accused-vile-002004614.html
1272907490	20251008	202510	2025	2025.7616	FRA	FRANCE	FRA																		1	020	020	02	1	3.0	3	1	3	-2.16216216216216	4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	0								4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	20251107053000	https://maribyrnonghobsonsbay.starweekly.com.au/news/joseph-road-residents-write-new-chapter/
1272907491	20251008	202510	2025	2025.7616	FRA	FRANCE	FRA								AUS	AUSTRALIA	AUS								1	020	020	02	1	3.0	1	1	1	-2.16216216216216	4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	4	Footscray, Victoria, Australia	AS	AS07	5396	-37.8	144.9	-1573765	20251107053000	https://maribyrnonghobsonsbay.starweekly.com.au/news/joseph-road-residents-write-new-chapter/
1272907492	20251008	202510	2025	2025.7616	GOV	MINIST						GOV			NZL	WELLINGTON	NZL								0	040	040	04	1	1.0	6	1	6	0.14492753623189	4	Waitangi, New Zealand (general), New Zealand	NZ	NZ00	22391	-43.95	-176.533	-1521024	4	Waitangi, New Zealand (general), New Zealand	NZ	NZ00	22391	-43.95	-176.533	-1521024	4	Waitangi, New Zealand (general), New Zealand	NZ	NZ00	22391	-43.95	-176.533	-1521024	20251107053000	https://www.scoop.co.nz/stories/AK2511/S00173/conservation-boards-set-to-lose-functions-under-new-law.htm
1272907493	20251008	202510	2025	2025.7616	GOV	MINIST						GOV			NZL	WELLINGTON	NZL								0	040	040	04	1	1.0	4	1	4	0.14492753623189	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20251107053000	https://www.scoop.co.nz/stories/AK2511/S00173/conservation-boards-set-to-lose-functions-under-new-law.htm
1272907494	20251008	202510	2025	2025.7616	NZL	WELLINGTON	NZL								GOV	MINIST						GOV			0	040	040	04	1	1.0	10	1	10	0.14492753623189	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20251107053000	https://www.scoop.co.nz/stories/AK2511/S00173/conservation-boards-set-to-lose-functions-under-new-law.htm
1272907495	20251031	202510	2025	2025.8247											BUS	INDUSTRY						BUS			1	042	042	04	1	1.9	1	1	1	1.40845070422535	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20251107053000	https://www.katc.com/lafayette-parish/southern-screen-festival-returns-to-downtown-lafayette
1272907496	20251031	202510	2025	2025.8247											USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	1.40845070422535	0								3	Lafayette, Louisiana, United States	US	USLA	LA055	30.2241	-92.0198	1629965	3	Lafayette, Louisiana, United States	US	USLA	LA055	30.2241	-92.0198	1629965	20251107053000	https://www.katc.com/lafayette-parish/southern-screen-festival-returns-to-downtown-lafayette
1272907497	20251031	202510	2025	2025.8247											USA	MICHIGAN	USA								1	173	173	17	4	-5.0	1	1	1	-7.28476821192053	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20251107053000	https://www.clickondetroit.com/news/local/2025/11/07/6th-arrest-made-in-halloween-terror-plot-targeting-dearborn-fbi-says-suspect-provided-support-to-isis/
