1269808040	20241021	202410	2024	2024.7973	BUS	COMPANY						BUS			MNCKOR	SAMSUNG	KOR					MNC			0	080	080	08	2	5.0	10	1	10	1.44927536231885	1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	20251021120000	https://www.sammobile.com/news/exynos-2600-might-finally-deliver-the-breakthrough-samsungs-been-chasing/
1269808041	20241021	202410	2024	2024.7973	EDU	UNIVERSITY						EDU			EDUHLH	UNIVERSITY						EDU	HLH		1	141	141	14	3	-6.5	5	1	5	-0.4739336492891	0								0								0								20251021120000	https://www.odnako.org/messina-an-ambulance-dedicated-to-sara-campanella-her-memory-will-continue-to-travel-to-serve-the-community/
1269808042	20241021	202410	2024	2024.7973	IND	MUMBAI	IND																		1	012	012	01	1	-0.4	3	1	3	-0.492610837438431	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20251021120000	https://morungexpress.com/vaani-kapoor-on-delhis-aqi-maybe-next-year-we-celebrate-without-dimming-the-air-we-breathe
1269808043	20241021	202410	2024	2024.7973	ITA	ITALY	ITA								JPN	JAPANESE	JPN								0	051	051	05	1	3.4	4	1	4	3.7199124726477	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20251021120000	https://www.mirror.co.uk/travel/charming-seaside-town-deal-kent-36107097
1269808044	20241021	202410	2024	2024.7973	POL	POLAND	POL																		1	017	017	01	1	0.0	5	1	5	4.83870967741935	1	Poland	PL	PL		52	20	PL	0								1	Poland	PL	PL		52	20	PL	20251021120000	https://www.just-auto.com/news/volkswagen-expand-poland-facility/
1269808045	20241021	202410	2024	2024.7973	USA	UNITED STATES	USA																		1	1712	171	17	4	-9.2	4	1	4	3.07692307692307	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20251021120000	https://www.oxfordmail.co.uk/news/25559306.wicked-fans-celebrate-casting-james-corden-snubbed/
1269808046	20250921	202509	2025	2025.7151	GOV	CHIEF MINISTER						GOV			BUS	CORPORATION						BUS			1	139	139	13	3	-7.0	10	1	10	-5.06329113924051	4	Gandhinagar, Gujarat, India	IN	IN09	17645	23.2167	72.6833	-2095816	4	Gandhinagar, Gujarat, India	IN	IN09	17645	23.2167	72.6833	-2095816	4	Gandhinagar, Gujarat, India	IN	IN09	17645	23.2167	72.6833	-2095816	20251021120000	https://www.moneycontrol.com/news/india/all-potholes-in-bengaluru-must-be-filled-in-a-week-says-karnataka-cm-siddaramaiah-13626379.html
1269808047	20250921	202509	2025	2025.7151	HLH	PHYSICIAN						HLH			EDU	SCHOOL						EDU			1	084	084	08	2	7.0	5	1	5	2.29621125143513	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251021120000	https://www.yahoo.com/news/articles/usf-health-rigorous-medical-education-111500036.html
1269808048	20250921	202509	2025	2025.7151	ISR	TEL AVIV	ISR								MED	PUBLISHER						MED			0	036	036	03	1	4.0	5	1	5	-4.08163265306122	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20251021120000	https://www.dw.com/en/writing-with-trauma-israeli-and-palestinian-authors-speak-out/a-74421181
1269808049	20251014	202510	2025	2025.7781											LEG	SENATE						LEG			0	050	050	05	1	3.5	10	1	10	-1.9845644983462	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20251021120000	https://www.yahoo.com/news/articles/ct-dems-not-backing-down-100018397.html
1269808050	20251014	202510	2025	2025.7781	BUS	CORPORATION						BUS			GOV	PUBLIC SECTOR						GOV			1	036	036	03	1	4.0	2	1	2	7.38786279683377	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20251021120000	https://www.prokerala.com/news/articles/a1688262.html
