1268129721	20241012	202410	2024	2024.7726	GOV	CABINET						GOV			JPN	JAPAN	JPN								1	010	010	01	1	0.0	10	1	10	-2.15517241379311	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20251012061500	https://nuclear-news.net/2025/10/12/5-b1-japan-weighs-nuclear-powered-submarines-amid-regional-tensions/
1268129722	20250912	202509	2025	2025.6904	USA	OKLAHOMA	USA								FRA	LYON	FRA								1	173	173	17	4	-5.0	6	1	6	-4.04463040446304	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251012061500	https://nypost.com/2025/10/12/us-news/ice-director-todd-lyons-fumes-over-illegal-migrant-anmol-anmols-ny-issued-no-name-given-drivers-license/
1268129723	20251005	202510	2025	2025.7534	MLT	VALLETTA	MLT																		1	110	110	11	3	-2.0	3	1	3	-2.94811320754717	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	0								4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	20251012061500	https://www.independent.com.mt/articles/2025-10-12/local-news/We-re-being-sold-a-false-choice-activist-says-on-planning-reform-bills-6736273845
1268129724	20251005	202510	2025	2025.7534	MLT	VALLETTA	MLT								OPP	ACTIVIST						OPP			1	110	110	11	3	-2.0	7	1	7	-2.94811320754717	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	20251012061500	https://www.independent.com.mt/articles/2025-10-12/local-news/We-re-being-sold-a-false-choice-activist-says-on-planning-reform-bills-6736273845
1268129725	20251005	202510	2025	2025.7534	MLT	VALLETTA	MLT								OPP	ACTIVIST						OPP			1	141	141	14	3	-6.5	7	1	7	-2.94811320754717	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	4	Valletta, Malta (general), Malta	MT	MT00	19479	35.8997	14.5147	-19310	20251012061500	https://www.independent.com.mt/articles/2025-10-12/local-news/We-re-being-sold-a-false-choice-activist-says-on-planning-reform-bills-6736273845
1268129726	20251012	202510	2025	2025.7726											AUS	MELBOURNE	AUS								0	030	030	03	1	4.0	10	1	10	0.99889012208657	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20251012061500	https://www.therural.com.au/story/9086657/midnight-oil-fans-rally-to-rescue-drummers-war-horse/
1268129727	20251012	202510	2025	2025.7726											AUS	AUSTRALIA	AUS								1	190	190	19	4	-10.0	8	1	4	0.99889012208657	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20251012061500	https://www.therural.com.au/story/9086657/midnight-oil-fans-rally-to-rescue-drummers-war-horse/
1268129728	20251012	202510	2025	2025.7726											CHRPRO331	CHURCH OF CHRIST				CHR	PRO				0	042	042	04	1	1.9	4	1	4	1.70575692963753	0								3	Highland County, Ohio, United States	US	USOH		39.1834	-83.6166	1074048	3	Hillsboro, Ohio, United States	US	USOH	OH081	40.3334	-80.6251	1063804	20251012061500	https://highlandcountypress.com/index.php/news/commissioners-agree-dissolve-family-children-first-council
1268129729	20251012	202510	2025	2025.7726											COP	PRISON						COP			0	051	051	05	1	3.4	10	1	10	-4.27745664739885	0								1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20251012061500	https://www.irishtimes.com/opinion/2025/10/12/breda-obrien-what-is-the-justice-system-for-if-we-dont-believe-in-rehabilitation/
1268129730	20251012	202510	2025	2025.7726											COP	POLICE						COP			1	173	173	17	4	-5.0	4	1	4	-4.95495495495496	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20251012061500	https://www.bangkokpost.com/thailand/general/3119794/two-israeli-men-arrested-with-fake-us-dollar-bills-on-koh-samui
1268129731	20251012	202510	2025	2025.7726											COP	POLICE						COP			1	173	173	17	4	-5.0	6	1	6	-4.95495495495496	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20251012061500	https://www.bangkokpost.com/thailand/general/3119794/two-israeli-men-arrested-with-fake-us-dollar-bills-on-koh-samui
