1273714934	20241112	202411	2024	2024.8548	GBR	UNITED KINGDOM	GBR								MED	NEWS AGENCY						MED			1	013	013	01	1	0.4	4	1	4	0.15105740181269	4	Highbridge, Somerset, United Kingdom	UK	UKM3	40129	51.2167	-2.98333	-2598645	4	Highbridge, Somerset, United Kingdom	UK	UKM3	40129	51.2167	-2.98333	-2598645	4	Highbridge, Somerset, United Kingdom	UK	UKM3	40129	51.2167	-2.98333	-2598645	20251112040000	https://www.burnhamandhighbridgeweeklynews.co.uk/news/national/25614841.top-doctors-plea-parents-protect-children-flu/
1273714935	20251013	202510	2025	2025.7753	IGOSEAASN	ASSOCIATION OF SOUTHEAST ASIAN NATIONS	SEA	ASN				IGO			MYS	KUALA LUMPUR	MYS								1	040	040	04	1	1.0	10	1	10	2.4	1	East Timor	TT	TT		-8.833333	125.75	TT	1	East Timor	TT	TT		-8.833333	125.75	TT	1	East Timor	TT	TT		-8.833333	125.75	TT	20251112040000	https://www.jcnnewswire.com/pressrelease/103659/2/Mooreast-to-Commence-Feasibility-Studies-to-Develop-up-to-500-MW-of-Renewable-Energy-Projects-in-Tim
1273714936	20251013	202510	2025	2025.7753	MYS	KUALA LUMPUR	MYS								IGOSEAASN	ASSOCIATION OF SOUTHEAST ASIAN NATIONS	SEA	ASN				IGO			1	040	040	04	1	1.0	8	1	8	2.4	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20251112040000	https://www.jcnnewswire.com/pressrelease/103659/2/Mooreast-to-Commence-Feasibility-Studies-to-Develop-up-to-500-MW-of-Renewable-Energy-Projects-in-Tim
1273714937	20251013	202510	2025	2025.7753	MYS	KUALA LUMPUR	MYS								IGOSEAASN	ASSOCIATION OF SOUTHEAST ASIAN NATIONS	SEA	ASN				IGO			1	040	040	04	1	1.0	2	1	2	2.4	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	1	East Timor	TT	TT		-8.833333	125.75	TT	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20251112040000	https://www.jcnnewswire.com/pressrelease/103659/2/Mooreast-to-Commence-Feasibility-Studies-to-Develop-up-to-500-MW-of-Renewable-Energy-Projects-in-Tim
1273714938	20251105	202511	2025	2025.8356	MED	WEBSITE						MED			COPGOV	DEPUTY						COP	GOV		0	173	173	17	4	-5.0	10	1	10	-4.25531914893617	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20251112040000	https://www.durangoherald.com/articles/colorado-corrections-department-not-in-talks-with-feds-over-tina-peters-prison-transfer/
1273714939	20251111	202511	2025	2025.8521	FRA	FRENCH	FRA								GOV	PRESIDENT						GOV			0	046	046	04	1	7.0	2	1	2	-5.25920360631105	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251112040000	https://wrp.org.uk/features/systematic-destruction-of-khan-younis-continues-despite-ceasefire/
1273714940	20251111	202511	2025	2025.8521	FRA	FRENCH	FRA								GOV	PRESIDENT						GOV			0	046	046	04	1	7.0	2	1	2	-5.25920360631105	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	20251112040000	https://wrp.org.uk/features/systematic-destruction-of-khan-younis-continues-despite-ceasefire/
1273714941	20251111	202511	2025	2025.8521	FRALEG	FRENCH	FRA					LEG			GOV	PRESIDENT						GOV			0	046	046	04	1	7.0	6	1	6	-5.25920360631105	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251112040000	https://wrp.org.uk/features/systematic-destruction-of-khan-younis-continues-despite-ceasefire/
1273714942	20251111	202511	2025	2025.8521	GOV	PRESIDENT						GOV			FRA	FRENCH	FRA								0	046	046	04	1	7.0	2	1	2	-5.25920360631105	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	4	Jordan Valley, Israel (general), Israel	IS	IS00	18314	32.6667	35.5	-2542918	20251112040000	https://wrp.org.uk/features/systematic-destruction-of-khan-younis-continues-despite-ceasefire/
1273714943	20251111	202511	2025	2025.8521	GOV	PRESIDENT						GOV			FRALEG	FRENCH	FRA					LEG			0	046	046	04	1	7.0	6	1	6	-5.25920360631105	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251112040000	https://wrp.org.uk/features/systematic-destruction-of-khan-younis-continues-despite-ceasefire/
1273714944	20251111	202511	2025	2025.8521	JUD	SPECIAL COURT						JUD													1	112	112	11	3	-2.0	16	2	16	-10.3979424830489	4	Chhattisgarh, Chhattisgarh, India	IN	IN37	70116	21.5	81.75	-2093188	0								4	Chhattisgarh, Chhattisgarh, India	IN	IN37	70116	21.5	81.75	-2093188	20251112040000	https://news.webindia123.com/news/Articles/India/20251112/4382693.html
