1268178581	20241012	202410	2024	2024.7726	PHL	PHILIPINE	PHL								IGOSEAASN	ASEAN	SEA	ASN				IGO			1	100	100	10	3	-5.0	10	1	10	-0.42016806722689	4	Metro Manila, Philippines (general), Philippines	RP	RP00	24210	14.5833	121	-2439768	4	Metro Manila, Philippines (general), Philippines	RP	RP00	24210	14.5833	121	-2439768	4	Metro Manila, Philippines (general), Philippines	RP	RP00	24210	14.5833	121	-2439768	20251012144500	https://www.bworldonline.com/economy/2025/10/12/704650/phl-can-withstand-us-tariff-but-must-preserve-multilateral-options-icc-says/
1268178582	20251005	202510	2025	2025.7534	LEG	SENATE						LEG			GOV	GOVERNMENT						GOV			1	071	071	07	2	7.4	10	1	10	1.35440180586908	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20251012144500	https://rapidcityjournal.com/news/local/government-politics/article_0741d3c2-5a72-4f05-817c-1aee29f64e75.html
1268178583	20251005	202510	2025	2025.7534	MED	GAZETTE						MED													1	114	114	11	3	-2.0	1	1	1	-1.33882595262615	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20251012144500	https://www.thegazette.com/article/misleading-miller-meeks-federal-shutdown-narrative-is-false/
1268178584	20251005	202510	2025	2025.7534	USA	UNITED STATES	USA								USAMED	UNITED STATES	USA					MED			1	114	114	11	3	-2.0	2	1	2	-1.33882595262615	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20251012144500	https://www.thegazette.com/article/misleading-miller-meeks-federal-shutdown-narrative-is-false/
1268178585	20251005	202510	2025	2025.7534	USAMED	UNITED STATES	USA					MED													1	114	114	11	3	-2.0	2	1	2	-1.33882595262615	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20251012144500	https://www.thegazette.com/article/misleading-miller-meeks-federal-shutdown-narrative-is-false/
1268178586	20251012	202510	2025	2025.7726											BLZ	BELIZE	BLZ								1	042	042	04	1	1.9	10	1	10	-0.12360939431396	0								1	Belize	BH	BH		17.25	-88.75	BH	1	Belize	BH	BH		17.25	-88.75	BH	20251012144500	https://amandala.com.bz/news/btb-holds-security-summit-to-enhance-visitors-safety/
1268178587	20251012	202510	2025	2025.7726											BLZ	BELIZE	BLZ								1	112	112	11	3	-2.0	2	1	2	-8.08510638297873	0								4	Belize City, Belize, Belize	BH	BH01	5855	17.4833	-88.1833	-1148788	4	Belize City, Belize, Belize	BH	BH01	5855	17.4833	-88.1833	-1148788	20251012144500	https://amandala.com.bz/news/did-a-minor-driver-fatally-hit-cyclist/
1268178588	20251012	202510	2025	2025.7726											BUS	COMPANY						BUS			0	057	057	05	1	8.0	5	1	5	0.18382352941177	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251012144500	https://tynmagazine.com/is-there-an-ai-bubble-financial-institutions-sound-a-warning/
1268178589	20251012	202510	2025	2025.7726											BUS	COMPANIES						BUS			0	130	130	13	3	-4.4	5	1	5	-1.80995475113122	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20251012144500	https://www.theguardian.com/business/2025/oct/12/ai-workslop-us-employees
1268178590	20251012	202510	2025	2025.7726											CAN	CANADA	CAN								0	036	036	03	1	4.0	2	1	2	0.53191489361702	0								4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20251012144500	https://windsorstar.com:443/news/national/canada-post-mail-delivery-resume/wcm/8e680a80-f383-4811-b6dc-722d9ad43b48
1268178591	20251012	202510	2025	2025.7726											CAN	CANADA	CAN								0	040	040	04	1	1.0	2	1	2	0.53191489361702	0								4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20251012144500	https://windsorstar.com:443/news/national/canada-post-mail-delivery-resume/wcm/8e680a80-f383-4811-b6dc-722d9ad43b48
