1270883168	20241027	202410	2024	2024.8137	CRM	CRIMINAL						CRM			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	3	1	3	-6.06060606060606	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	20251027104500	https://balkaninsight.com/2025/10/27/moving-albanian-drug-money-on-trust-or-in-crypto/
1270883169	20241027	202410	2024	2024.8137	GBRBUS	LONDON	GBR					BUS			GOV	CHANCELLOR						GOV			0	020	020	02	1	3.0	3	1	3	-2.03389830508474	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251027104500	https://leamingtonobserver.co.uk/news/factory-investment-slumps-as-reeves-faces-pressure-ahead-of-budget-national-news-58685/
1270883170	20241027	202410	2024	2024.8137	JUD	JUDGE						JUD			CVL	COMMUNITY						CVL			0	051	051	05	1	3.4	10	1	10	1.65876777251185	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Eastbourne, East Sussex, United Kingdom	UK	UKE2	40107	50.8	0.25	-2595114	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251027104500	https://www.architectsjournal.co.uk/news/could-drmms-hastings-pier-be-sold-back-to-the-community
1270883171	20241027	202410	2024	2024.8137	USA	VIRGINIA	USA								LEG	GENERAL ASSEMBLY						LEG			0	020	020	02	1	3.0	10	1	10	-1.01892285298399	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20251027104500	https://www.yahoo.com/news/articles/virginia-democrats-weigh-plan-counter-100415750.html
1270883172	20250927	202509	2025	2025.7315											GOV	REGIME						GOV			0	130	130	13	3	-4.4	1	1	1	0.83160083160084	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20251027104500	https://www.yahoo.com/news/articles/trump-says-love-meet-kim-101417178.html
1270883173	20250927	202509	2025	2025.7315	AUS	AUSTRALIA	AUS																		1	051	051	05	1	3.4	4	1	4	0.66889632107024	4	Chipping Norton, New South Wales, Australia	AS	AS02	5039	-33.9	150.95	-1565511	0								4	Chipping Norton, New South Wales, Australia	AS	AS02	5039	-33.9	150.95	-1565511	20251027104500	https://www.worcesternews.co.uk/news/25573335.kaleb-cooper-arrives-australia-leaving-clarksons-farm/
1270883174	20251020	202510	2025	2025.7945	GOV	ADMINISTRATION						GOV													1	100	100	10	3	-5.0	2	1	2	-4.59715639810426	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20251027104500	https://www.yahoo.com/news/articles/cases-could-unleash-trump-war-100000234.html
1270883175	20251020	202510	2025	2025.7945	GOV	ADMINISTRATION						GOV													1	100	100	10	3	-5.0	8	1	8	-4.59715639810426	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20251027104500	https://www.yahoo.com/news/articles/cases-could-unleash-trump-war-100000234.html
1270883176	20251020	202510	2025	2025.7945	NAM	NAMIBIA	NAM								NAMEDU	WINDHOEK	NAM					EDU			1	014	014	01	1	0.0	8	1	8	11.2271540469974	4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	20251027104500	https://www.namibian.com.na/miss-namibia-launches-hapo-wall-to-inspire-namibian-pupils/
1270883177	20251020	202510	2025	2025.7945	zul	ZULU			zul																1	042	042	04	1	1.9	10	1	10	-14.2857142857143	4	Pinetown, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.8207	30.8867	-1272565	0								4	Pinetown, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.8207	30.8867	-1272565	20251027104500	https://www.enca.com/news-top-stories/cop-appears-court-over-murder-fellow-officer
1270883178	20251026	202510	2025	2025.8110	CHN	CHINESE	CHN								USA	THE US	USA								1	044	044	04	1	2.5	2	1	2	-1.52173913043478	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	South Korea	KS	KS		37	127.5	KS	20251027104500	https://www.taipeitimes.com/News/taiwan/archives/2025/10/27/2003846192
