1264192930	20240920	202409	2024	2024.7123	CVL	MIGRANT						CVL			POLMIL	POLISH	POL					MIL			1	190	190	19	4	-10.0	10	1	10	-3.73250388802489	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20250920063000	https://www.lewrockwell.com/2025/09/no_author/polands-attempt-to-blackmail-china-will-hurt-itself-most/
1264192931	20240920	202409	2024	2024.7123	KOR	SOUTH KOREA	KOR								GOV	PRESIDENT						GOV			0	030	030	03	1	4.0	3	1	3	1.51515151515152	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250920063000	https://www.financialexpress.com/world-news/trump-xi-hold-productive-talks-on-tiktok-deal-leaders-to-meet-in-coming-weeks/3983576/
1264192932	20240920	202409	2024	2024.7123	KOR	SOUTH KOREA	KOR								GOV	PRESIDENT						GOV			0	030	030	03	1	4.0	1	1	1	1.51515151515152	1	South Korea	KS	KS		37	127.5	KS	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250920063000	https://www.financialexpress.com/world-news/trump-xi-hold-productive-talks-on-tiktok-deal-leaders-to-meet-in-coming-weeks/3983576/
1264192933	20240920	202409	2024	2024.7123	LEG	CONGRESS						LEG													1	193	193	19	4	-10.0	6	1	6	-10.9565217391304	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250920063000	https://www.miningjournal.net/opinion/editorial/2025/09/the-guardian-charlie-kirks-killing-shouldnt-be-used-to-foment-further-political-division-already-polarized-us/
1264192934	20240920	202409	2024	2024.7123	LEG	CONGRESS						LEG													1	193	193	19	4	-10.0	4	1	4	-10.9565217391304	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	0								2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250920063000	https://www.miningjournal.net/opinion/editorial/2025/09/the-guardian-charlie-kirks-killing-shouldnt-be-used-to-foment-further-political-division-already-polarized-us/
1264192935	20240920	202409	2024	2024.7123	TWN	TAIWAN	TWN																		0	020	020	02	1	3.0	2	1	2	-1.7741935483871	4	Changhua, Zhanghua Xian, Taiwan	TW	TW05	13277	24.074	120.538	-2627038	0								4	Changhua, Zhanghua Xian, Taiwan	TW	TW05	13277	24.074	120.538	-2627038	20250920063000	https://english.news.cn/20250920/6a30835152f941b9818d07b6faff17f5/c.html
1264192936	20250821	202508	2025	2025.6329											FRA	FRANCE	FRA								0	043	043	04	1	2.8	1	1	1	-2.4234693877551	0								1	United Kingdom	UK	UK		54	-4	UK	1	France	FR	FR		46	2	FR	20250920063000	https://www.mirror.co.uk/news/politics/millionaire-reform-uk-donor-praised-35932823
1264192937	20250821	202508	2025	2025.6329											TTO	TRINIDAD	TTO								1	190	190	19	4	-10.0	1	1	1	-8.19672131147538	0								4	Port-Of-Spain, Port-of-Spain, Trinidad And Tobago	TD	TD05	27418	10.65	-61.5167	-1360612	4	Port-Of-Spain, Port-of-Spain, Trinidad And Tobago	TD	TD05	27418	10.65	-61.5167	-1360612	20250920063000	https://www.stabroeknews.com/2025/09/20/news/regional/trinidad/shot-trinidad-doctor-dies/
1264192938	20250821	202508	2025	2025.6329	BUS	COMPANY						BUS			FRA	FRANCE	FRA								0	042	042	04	1	1.9	10	1	10	-2.4234693877551	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250920063000	https://www.mirror.co.uk/news/politics/millionaire-reform-uk-donor-praised-35932823
1264192939	20250821	202508	2025	2025.6329	FRA	FRANCE	FRA																		0	042	042	04	1	1.9	1	1	1	-2.4234693877551	1	United Kingdom	UK	UK		54	-4	UK	0								1	France	FR	FR		46	2	FR	20250920063000	https://www.mirror.co.uk/news/politics/millionaire-reform-uk-donor-praised-35932823
1264192940	20250821	202508	2025	2025.6329	FRA	FRANCE	FRA								BUS	COMPANY						BUS			0	043	043	04	1	2.8	10	1	10	-2.4234693877551	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250920063000	https://www.mirror.co.uk/news/politics/millionaire-reform-uk-donor-praised-35932823
1264192941	20250821	202508	2025	2025.6329	HLH	DOCTOR						HLH			TTO	TRINIDAD AND TOBAGO	TTO								1	190	190	19	4	-10.0	1	1	1	-8.19672131147538	4	Port-Of-Spain, Port-of-Spain, Trinidad And Tobago	TD	TD05	27418	10.65	-61.5167	-1360612	4	Port-Of-Spain, Port-of-Spain, Trinidad And Tobago	TD	TD05	27418	10.65	-61.5167	-1360612	4	Port-Of-Spain, Port-of-Spain, Trinidad And Tobago	TD	TD05	27418	10.65	-61.5167	-1360612	20250920063000	https://www.stabroeknews.com/2025/09/20/news/regional/trinidad/shot-trinidad-doctor-dies/
