1263188894	20240915	202409	2024	2024.6986	CHN	CHINA	CHN								MNCUSA	NVIDIA	USA					MNC			1	090	090	09	2	-2.0	10	1	10	-3.10077519379845	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250915093000	https://www.nbcnews.com/world/china/china-says-nvidia-violated-anti-monopoly-law-rcna231291
1263188895	20240915	202409	2024	2024.6986	GOV	FIRE BRIGADE						GOV			AUT	AUSTRIA	AUT								0	130	130	13	3	-4.4	4	1	4	-4.41717791411043	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20250915093000	https://www.thelocal.at/20250915/today-in-austria-a-roundup-of-the-latest-news-on-monday-196
1263188896	20240915	202409	2024	2024.6986	JPN	JAPAN	JPN																		1	017	017	01	1	0.0	10	1	10	0.80971659919029	1	Japan	JA	JA		36	138	JA	0								1	Japan	JA	JA		36	138	JA	20250915093000	https://www.motorcyclenews.com/advice/used-bikes/suzuki-gsx-r-40th-anniversary/
1263188897	20240915	202409	2024	2024.6986	sco	SCOTTISH			sco																1	010	010	01	1	0.0	10	1	10	-0.26595744680851	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	0								4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20250915093000	https://dailybusinessgroup.co.uk/2025/09/tackle-crime-planning-and-rates-say-retailers/
1263188898	20240915	202409	2024	2024.6986	sco	SCOTTISH			sco																1	020	020	02	1	3.0	10	1	10	-0.26595744680851	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	0								4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20250915093000	https://dailybusinessgroup.co.uk/2025/09/tackle-crime-planning-and-rates-say-retailers/
1263188899	20250816	202508	2025	2025.6192	USAMIL	TEXAS	USA					MIL			UKR	UKRAINE	UKR								1	060	060	06	2	6.0	4	1	4	-2.63424518743668	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250915093000	https://edition.cnn.com/2025/09/15/politics/drone-us-military-russia-ukraine
1263188900	20250816	202508	2025	2025.6192	USAMIL	TEXAS	USA					MIL			UKR	UKRAINE	UKR								1	060	060	06	2	6.0	1	1	1	-2.63424518743668	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	1	Russia	RS	RS		60	100	RS	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250915093000	https://edition.cnn.com/2025/09/15/politics/drone-us-military-russia-ukraine
1263188901	20250908	202509	2025	2025.6795	MED	PUBLISHER						MED			RUS	MOSCOW	RUS								1	013	013	01	1	0.4	5	1	5	0.41322314049587	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915093000	https://www.upi.com/Archives/1982/06/05/The-science-journal-Scientific-American-will-publish-a-Russian-language/2978392097600/
1263188902	20250908	202509	2025	2025.6795	MED	PUBLISHER						MED			RUS	MOSCOW	RUS								1	036	036	03	1	4.0	4	1	4	0.41322314049587	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915093000	https://www.upi.com/Archives/1982/06/05/The-science-journal-Scientific-American-will-publish-a-Russian-language/2978392097600/
1263188903	20250908	202509	2025	2025.6795	RUSMED	RUSSIA	RUS					MED			RUS	RUSSIA	RUS								1	030	030	03	1	4.0	2	1	2	0.41322314049587	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915093000	https://www.upi.com/Archives/1982/06/05/The-science-journal-Scientific-American-will-publish-a-Russian-language/2978392097600/
1263188904	20250908	202509	2025	2025.6795	RUSMED	RUSSIA	RUS					MED			RUS	MOSCOW	RUS								1	036	036	03	1	4.0	1	1	1	0.41322314049587	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915093000	https://www.upi.com/Archives/1982/06/05/The-science-journal-Scientific-American-will-publish-a-Russian-language/2978392097600/
1263188905	20250908	202509	2025	2025.6795	USA	UNITED STATES	USA																		1	010	010	01	1	0.0	16	4	16	-4.0495867768595	3	Utah Valley University, Utah, United States	US	USUT	UT049	40.2222	-111.659	1449138	0								3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	20250915093000	https://www.whro.org/2025-09-15/a-utah-church-embarks-on-a-healing-journey-in-the-aftermath-of-the-kirk-assassination
1263188906	20250908	202509	2025	2025.6795	USA	UNITED STATES	USA																		1	051	051	05	1	3.4	16	4	16	-4.0495867768595	3	Utah Valley University, Utah, United States	US	USUT	UT049	40.2222	-111.659	1449138	0								3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	20250915093000	https://www.whro.org/2025-09-15/a-utah-church-embarks-on-a-healing-journey-in-the-aftermath-of-the-kirk-assassination
1263188907	20250908	202509	2025	2025.6795	USA	THE US	USA								BUS	BANK						BUS			0	130	130	13	3	-4.4	10	1	10	-4.07166123778501	4	Phuket, Phuket, Thailand	TH	TH62	26915	7.83333	98.3833	-3253342	4	Phuket, Phuket, Thailand	TH	TH62	26915	7.83333	98.3833	-3253342	4	Phuket, Phuket, Thailand	TH	TH62	26915	7.83333	98.3833	-3253342	20250915093000	https://www.thesun.co.uk/travel/36706952/airline-ban-travel-gadget-flights-new/
